|novel|brut_sum|brut_type|Total Words|Percentage|field
0|A Way Out|93|30|12914|0.7201486758556606|aben_W
1|Afrika im Herzen_0|549|51|97613|0.562425086822452|aben_W
2|Afrika im Herzen_1|370|41|66866|0.5533454969640774|aben_W
3|Afterlife|132|21|13869|0.9517629245078953|aben_W
4|Ai e no pasu|102|26|13260|0.7692307692307693|aben_W
5|Alvaro   Der Preis der Freiheit|124|31|18450|0.6720867208672087|aben_W
6|Auf der Suche|99|25|12974|0.7630645907199013|aben_W
7|Außer Kontrolle_0|482|46|97416|0.49478525088281183|aben_W
8|Außer Kontrolle_1|40|25|10482|0.38160656363289447|aben_W
9|Bedrohliche Zeiten|189|37|16819|1.1237291158808491|aben_W
10|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _0|518|57|95754|0.5409695678509514|aben_W
11|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _1|96|30|13261|0.7239273056330594|aben_W
12|Chroniken der Stämme Spotlight  Licht und Schatten  Teil 1 |115|35|11248|1.0224039829302987|aben_W
13|Dark Revolution|112|31|16102|0.6955657682275493|aben_W
14|Das Abenteuer beginnt |92|26|12983|0.7086189632596472|aben_W
15|Das Auge des Horus|49|23|10459|0.46849603212544216|aben_W
16|Das geheimnisvolle Kriegervolk|55|19|10809|0.5088352299010084|aben_W
17|Der Jäger und das Geheimnis von Korinth|104|22|28351|0.36683009417657225|aben_W
18|Der Stein des blauen Mondes|164|37|27769|0.5905866253736181|aben_W
19|Der Waldläufer Nousagi|706|56|88732|0.7956543298922598|aben_W
20|Die Chroniken der Verborgenen Lande   Martin von Wengland   Das Turnier|151|29|22835|0.6612656010510182|aben_W
21|Die Chroniken der Verborgenen Lande   Martin von Wengland   Einer spielt falsch|113|29|19532|0.5785377841490887|aben_W
22|Die Chroniken der Verborgenen Lande   Martin von Wengland   Wirren des Krieges|517|45|60219|0.8585330211395076|aben_W
23|Die Dimension der Piraten|227|38|41371|0.5486935292837978|aben_W
24|Die Erbin Des Diamantdrachens|145|34|29532|0.49099282134633615|aben_W
25|Die Geflügelte Schlange   Erkenntnis|66|25|9886|0.6676107626947198|aben_W
26|Die Gesandten|89|26|14261|0.6240796578080079|aben_W
27|Die Legende von Canaan|198|26|30156|0.6565857540787903|aben_W
28|Die Reise|69|17|11441|0.6030941351280483|aben_W
29|Die Reisende|39|11|12543|0.31093039942597467|aben_W
30|Die Reisenden   Chroniken von Eris|210|44|30159|0.6963095593355217|aben_W
31|Die Spuren der Wölfe|48|14|5444|0.881704628949302|aben_W
32|Die Welt der Former_0|851|61|100156|0.8496745077678822|aben_W
33|Die Welt der Former_1|633|47|77450|0.817301484828922|aben_W
34|Die vier Schlüssel|129|31|27176|0.4746835443037975|aben_W
35|Disteln und Dornen|125|29|11426|1.093996149133555|aben_W
